石家庄,sjz
娄底,loudi
南昌,nc
景德镇,jingdezhen
萍乡,pingxiang
九江,jiujiang
新余,xinyu
鹰潭,yingtan
赣州,ganzhou
吉安,jian
宜春,jxyichun
抚州,jxfuzhou
上饶,shangrao
昆明,km
曲靖,qujing
玉溪,yuxi
保山,baoshan
昭通,zhaotong
丽江,lijiang
普洱,puer
临沧,lincang
文山,wenshan
红河,honghe
西双版纳,xishuangbanna
楚雄,chuxiong
大理,dali
德宏,dehong
怒江,nujiang
迪庆,diqing
乌鲁木齐,xj
克拉玛依,kelamayi
吐鲁番,tulufan
哈密,hami
和田,hetian
阿克苏,akesu
喀什,kashi
克孜勒苏,kezilesu
巴音郭楞,bayinguoleng
昌吉,changji
博尔塔拉,boertala
伊犁,yili
塔城,tacheng
阿勒泰,aletai
石河子,shihezi
拉萨,xz
昌都,changdu
山南,shannan
日喀则,rikaze
那曲,naqu
阿里,ali
林芝,linzhi
韶关,shaoguan
湛江,zhanjiang
肇庆,zhaoqing
梅州,meizhou
汕尾,shanwei
河源,heyuan
阳江,yangjiang
清远,qingyuan
潮州,chaozhou
揭阳,jieyang
云浮,yunfu
攀枝花,panzhihua
广元,guangyuan
遂宁,suining
内江,neijiang
广安,guangan
眉山,meishan
雅安,yaan
巴中,bazhong
资阳,ziyang
阿坝,aba
甘孜,ganzi
丽水,lishui
本溪,benxi
阜新,fuxin
铁岭,tieling
朝阳市,chaoyang
镇江,zhenjiang
泰州,jstaizhou
宿迁,suqian
开封,kaifeng
濮阳,puyang
许昌,xuchang
三门峡,sanmenxia
商丘,shangqiu
信阳,xinyang
周口,zhoukou
驻马店,zhumadian
七台河,qitaihe
牡丹江,mudanjiang
大兴安岭,daxinganling
济宁,jining
泰安,taian
日照,rizhao
临沂,linyi
德州,dezhou
聊城,liaocheng
淮南,huainan
淮北,huaibei
铜陵,tongling
黄山,huangshan
亳州,bozhou
池州,chizhou
宣城,xuancheng
北海,beihai
防城港,fangchenggang
贺州,hezhou
崇左,chongzuo
锡林郭勒,xilinguole
阿拉善,alashan
吕梁,lvliang
陇南,longnan
临夏,linxia
甘南,gannan
孝感,xiaogan
黄冈,huanggang
咸宁,xianning
随州,suizhou
恩施,enshi
天门,tianmen
神农架,shennongjia
张家界,zhangjiajie
益阳,yiyang
怀化,huaihua
湘西,xiangxi
菏泽,heze
石嘴山,shizuishan
吴忠,wuzhong
固原,guyuan
中卫,zhongwei
嘉峪关,jiayuguan
香港,xianggang
澳门,aomen
五指山,wuzhishan
库尔勒,kuerle
阿拉尔,alaer
图木舒克,tumushuke
五家渠,wujiaqu
琼海,qh
儋州,danzhou

